Entity,Code,Year,Grazing (HYDE (2017))
Africa,,-10000,0
Africa,,-9000,0
Africa,,-8000,0
Africa,,-7000,0
Africa,,-6000,0
Africa,,-5000,5845343.4
Africa,,-4000,11206709.32
Africa,,-3000,19398754.11
Africa,,-2000,33224739.58
Africa,,-1000,58420146.87
Africa,,0,90431003.32
Africa,,100,96468641.28
Africa,,200,102255677.7
Africa,,300,108043701.5
Africa,,400,114815292.1
Africa,,500,123255320.9
Africa,,600,133191039.4
Africa,,700,145041774
Africa,,800,159441590.7
Africa,,900,171199329.8
Africa,,1000,182478247.2
Africa,,1100,192777718.8
Africa,,1200,202625424.4
Africa,,1300,218386115.7
Africa,,1400,233600808.4
Africa,,1500,241899423.7
Africa,,1600,263667781
Africa,,1700,314629578
Africa,,1710,307970701
Africa,,1720,312919744
Africa,,1730,318096584
Africa,,1740,323443029
Africa,,1750,329090324
Africa,,1760,335132746
Africa,,1770,341735860
Africa,,1780,349194408
Africa,,1790,358067288
Africa,,1800,369497234
Africa,,1810,385745694
Africa,,1820,394266326
Africa,,1830,408568902
Africa,,1840,416712193
Africa,,1850,426291543
Africa,,1860,436599582
Africa,,1870,447111780
Africa,,1880,465074500
Africa,,1890,478090610
Africa,,1900,496807930
Africa,,1910,518385210
Africa,,1920,543652480
Africa,,1930,578223050
Africa,,1940,633156250
Africa,,1950,753631890
Africa,,1960,872642530
Africa,,1970,871184590
Africa,,1980,875479010
Africa,,1990,885376680
Africa,,2000,880636190
Africa,,2001,883412170
Africa,,2002,884140100
Africa,,2003,885051460
Africa,,2004,886597610
Africa,,2005,889496200
Africa,,2006,890239700
Africa,,2007,889848040
Africa,,2008,889855200
Africa,,2009,889936240
Africa,,2010,889692050
Africa,,2011,889380760
Africa,,2012,889149440
Africa,,2013,889008200
Africa,,2014,888676640
Africa,,2015,888369190
Africa,,2016,888088030
Brazil,BRA,-10000,0
Brazil,BRA,-9000,0
Brazil,BRA,-8000,0
Brazil,BRA,-7000,0
Brazil,BRA,-6000,0
Brazil,BRA,-5000,0
Brazil,BRA,-4000,0
Brazil,BRA,-3000,0
Brazil,BRA,-2000,0
Brazil,BRA,-1000,0
Brazil,BRA,0,0
Brazil,BRA,100,0
Brazil,BRA,200,0
Brazil,BRA,300,0
Brazil,BRA,400,0
Brazil,BRA,500,0
Brazil,BRA,600,0
Brazil,BRA,700,0
Brazil,BRA,800,0
Brazil,BRA,900,0
Brazil,BRA,1000,0
Brazil,BRA,1100,0
Brazil,BRA,1200,0
Brazil,BRA,1300,0
Brazil,BRA,1400,0
Brazil,BRA,1500,0
Brazil,BRA,1600,487941.7
Brazil,BRA,1700,975557.4
Brazil,BRA,1710,1062206
Brazil,BRA,1720,1157420
Brazil,BRA,1730,1262252
Brazil,BRA,1740,1377917
Brazil,BRA,1750,1505846
Brazil,BRA,1760,1647726
Brazil,BRA,1770,1805540
Brazil,BRA,1780,1981687
Brazil,BRA,1790,2179004
Brazil,BRA,1800,2575721
Brazil,BRA,1810,3114455
Brazil,BRA,1820,4333633
Brazil,BRA,1830,5574999
Brazil,BRA,1840,6946312
Brazil,BRA,1850,8681480
Brazil,BRA,1860,10887290
Brazil,BRA,1870,13707340
Brazil,BRA,1880,17340120
Brazil,BRA,1890,22063180
Brazil,BRA,1900,28283860
Brazil,BRA,1910,36620820
Brazil,BRA,1920,48058860
Brazil,BRA,1930,64236580
Brazil,BRA,1940,87995140
Brazil,BRA,1950,107966300
Brazil,BRA,1960,122140400
Brazil,BRA,1970,154142700
Brazil,BRA,1980,171129200
Brazil,BRA,1990,184202800
Brazil,BRA,2000,196211900
Brazil,BRA,2001,197007100
Brazil,BRA,2002,197005800
Brazil,BRA,2003,196500000
Brazil,BRA,2004,196501400
Brazil,BRA,2005,196001100
Brazil,BRA,2006,195998900
Brazil,BRA,2007,196002100
Brazil,BRA,2008,195998000
Brazil,BRA,2009,195997500
Brazil,BRA,2010,195998100
Brazil,BRA,2011,196006300
Brazil,BRA,2012,195986600
Brazil,BRA,2013,195987000
Brazil,BRA,2014,196007600
Brazil,BRA,2015,196005400
Brazil,BRA,2016,196006800
Canada,CAN,-10000,0
Canada,CAN,-9000,0
Canada,CAN,-8000,0
Canada,CAN,-7000,0
Canada,CAN,-6000,0
Canada,CAN,-5000,0
Canada,CAN,-4000,0
Canada,CAN,-3000,0
Canada,CAN,-2000,0
Canada,CAN,-1000,0
Canada,CAN,0,0
Canada,CAN,100,0
Canada,CAN,200,0
Canada,CAN,300,0
Canada,CAN,400,0
Canada,CAN,500,0
Canada,CAN,600,0
Canada,CAN,700,0
Canada,CAN,800,0
Canada,CAN,900,0
Canada,CAN,1000,0
Canada,CAN,1100,0
Canada,CAN,1200,0
Canada,CAN,1300,0
Canada,CAN,1400,0
Canada,CAN,1500,0
Canada,CAN,1600,0
Canada,CAN,1700,0
Canada,CAN,1710,0
Canada,CAN,1720,0
Canada,CAN,1730,0
Canada,CAN,1740,0
Canada,CAN,1750,0
Canada,CAN,1760,0
Canada,CAN,1770,40916.88
Canada,CAN,1780,61375.34
Canada,CAN,1790,92062.76
Canada,CAN,1800,138095
Canada,CAN,1810,225502.6
Canada,CAN,1820,338259.6
Canada,CAN,1830,507372.8
Canada,CAN,1840,761080.3
Canada,CAN,1850,1141580
Canada,CAN,1860,1712395
Canada,CAN,1870,2574614
Canada,CAN,1880,3137105
Canada,CAN,1890,4012424
Canada,CAN,1900,4046474
Canada,CAN,1910,5858334
Canada,CAN,1920,9629938
Canada,CAN,1930,12290640
Canada,CAN,1940,15739000
Canada,CAN,1950,15738500
Canada,CAN,1960,17035600
Canada,CAN,1970,16060980
Canada,CAN,1980,15920900
Canada,CAN,1990,15902950
Canada,CAN,2000,15435010
Canada,CAN,2001,15390940
Canada,CAN,2002,15399980
Canada,CAN,2003,15410020
Canada,CAN,2004,15419930
Canada,CAN,2005,15429930
Canada,CAN,2006,15441030
Canada,CAN,2007,15293340
Canada,CAN,2008,15145690
Canada,CAN,2009,14998150
Canada,CAN,2010,14850560
Canada,CAN,2011,14702980
Canada,CAN,2012,14600010
Canada,CAN,2013,14437500
Canada,CAN,2014,14300740
Canada,CAN,2015,14165370
Canada,CAN,2016,14030090
China,CHN,-10000,0
